title,source,published_on,url,body
"MUSKPEPE Memecoin Will Rally 13,000% Ahead of Exchange Listing, While SHIB and BONK Fall",cryptointelligence,2024-09-21 17:22:00,https://www.cryptointelligence.co.uk/muskpepe-memecoin-will-rally-13000-ahead-of-exchange-listing-while-shib-and-bonk-fall/,"Musk’s Pet Pepe could turn early investors into multi-millionaires, like Shiba Inu (SHIB) and Dogecoin (DOGE) did. Musk’s Pet Pepe (MUSKPEPE), a new Solana memecoin that was launched today, is poised to explode over 13,000% in price in the coming days. This is because MUSKPEPE is set to soon be listed on numerous crypto exchanges, according to reports. This will give the Solana memecoin exposure to millions of additional investors, who will pour funds into the coin and drive its price up. Currently, Musk’s Pet Pepe can only be purchased via Solana decentralized exchanges, like Jup.ag and Raydium.io, and early"
Coinbase's cbBTC wrapped Bitcoin coming to Solana — Breakpoint 2024,cointelegraph,2024-09-21 17:10:57,https://cointelegraph.com/news/coinbase-s-cb-btc-wrapped-bitcoin-coming-to-solana?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,Wrapped Bitcoin products allow users to retain asset control while using Bitcoin as collateral for decentralized finance applications.
Ethereum to recover? Key signals indicate a surge in network activity!,ambcrypto,2024-09-21 17:00:30,https://ambcrypto.com/ethereum-to-recover-key-signals-indicate-a-surge-in-network-activity/,The recent sentiment shift in the market has renewed the prospects of interest in the Ethereum DeFi ecosystem. Here's what on-chain data has to say.
Internet Computer ICP price prediction 2024-2030: Is ICP a good investment?,cryptopolitan,2024-09-21 16:56:48,https://www.cryptopolitan.com/icp-price-prediction/,"Key takeaways Internet Computer (ICP) is a groundbreaking blockchain network developed by the DFINITY Foundation. It aims to extend the functionality of the internet, enabling it to host backend software, and transforming it into a global, decentralized computer. The network leverages advanced cryptography and innovative technology to provide scalable, efficient, and secure decentralized applications (dApps)."
"Singapore-Based Crypto Exchange BingX Suffers $52,000,000 Hack: Blockchain Security Firm",dailyhodl,2024-09-21 16:45:29,https://dailyhodl.com/2024/09/21/singapore-based-crypto-exchange-bingx-suffers-52000000-hack-blockchain-security-firm/,"New data from prominent blockchain security firm Cyvers reveals that a Singapore-based crypto exchange lost $52 million after being hacked. In a new post, Cyvers says that BingX’s hot wallet suffered a multimillion-dollar exploit affecting multiple blockchains, including Ethereum (ETH), Avalanche (AVAX), BNB, Optimism (OP), and Polygon (POL), Base, and Arbitrum (ARB). “Our system has The post Singapore-Based Crypto Exchange BingX Suffers $52,000,000 Hack: Blockchain Security Firm appeared first on The Daily Hodl ."
Solana and Binance Coin investors are adding Rollblock to their medium-term 100x prospects,nft_news,2024-09-21 16:43:53,https://crypto.news/solana-and-binance-coin-investors-are-adding-rollblock-to-their-medium-term-100x-prospects/,"After strong gains, Solana and Binance Coin investors are eyeing Rollblock, seeking a potential 100x return in crypto. #partnercontent"
Solana and Binance Coin investors are adding Rollblock to their medium-term 100x prospects,crypto_news,2024-09-21 16:43:53,https://crypto.news/solana-and-binance-coin-investors-are-adding-rollblock-to-their-medium-term-100x-prospects/,"After strong gains, Solana and Binance Coin investors are eyeing Rollblock, seeking a potential 100x return in crypto. #partnercontent"
ECB president Christine Lagarde says the global economy is headed for recession,cryptopolitan,2024-09-21 16:35:14,https://www.cryptopolitan.com/ecb-president-christine-lagarde-says-the-global-economy-is-headed-for-recession/,"Christine Lagarde, the head of the European Central Bank, believes the global economy is in deep trouble, and about to hit a recession. She drew comparisons to the 1920s, when economic instability and bad decisions led to the Great Depression. But this time, it’s not just one thing causing the problem. It’s a trifecta of"
Crypto experts believe this altcoin will massively outperform Dogecoin and XRP,nft_news,2024-09-21 16:32:08,https://crypto.news/crypto-experts-believe-this-altcoin-will-massively-outperform-dogecoin-and-xrp/,"New altcoin Rollblock is gaining traction, raising $3.7 million in presale and challenging Dogecoin and XRP. #partnercontent"
Crypto experts believe this altcoin will massively outperform Dogecoin and XRP,crypto_news,2024-09-21 16:32:08,https://crypto.news/crypto-experts-believe-this-altcoin-will-massively-outperform-dogecoin-and-xrp/,"New altcoin Rollblock is gaining traction, raising $3.7 million in presale and challenging Dogecoin and XRP. #partnercontent"
Magic Eden Plans to Launch ME Token on Solana Blockchain,bitcoinworld,2024-09-21 16:31:25,https://bitcoinworld.co.in/magic-eden-plans-to-launch-me-token-on-solana/,"Magic Eden Plans to Launch ME Token on Solana Blockchain In a move that could significantly enhance its ecosystem, Magic Eden, a leading NFT marketplace, is planning to launch its native ME token on the Solana blockchain, according to a report from SolanaFloor’s X account. This development is poised to further strengthen Magic Eden’s presence"
"QCP Capital: Crypto Rally Extends, Supported by ETF Inflows",bitcoin.com,2024-09-21 16:30:30,https://news.bitcoin.com/qcp-capital-crypto-rally-extends-supported-by-etf-inflows/,"Bitcoin (BTC) and ether (ETH) surged for a third consecutive day, supported by strong inflows into spot exchange-traded funds (ETFs), according to a weekend analysis by QCP Capital. The firm reported that bitcoin retested the $64,000 mark, while ether reclaimed $2,500 during the rally. ‘Uptober’ Gets a Head Start in Mid-September QCP Capital‘s weekend analysis"
"Crypto VC funding: The Open Network raises $30M, Drift Protocol brings in $25M",nft_news,2024-09-21 16:26:00,https://crypto.news/crypto-vc-funding-the-open-network-raises-30m-drift-protocol-brings-in-25m/,"Our crypto VC funding column, for the week of Sept. 15 to Sept. 21, explores the latest capital-raising efforts: Open Network, Drift Protocol, Helius, Hemi Labs and Pipe Network."
"Crypto VC funding: The Open Network raises $30M, Drift Protocol brings in $25M",crypto_news,2024-09-21 16:26:00,https://crypto.news/crypto-vc-funding-the-open-network-raises-30m-drift-protocol-brings-in-25m/,"Our crypto VC funding column, for the week of Sept. 15 to Sept. 21, explores the latest capital-raising efforts: Open Network, Drift Protocol, Helius, Hemi Labs and Pipe Network."
Bittensor price prediction 2024–2030: Is TAO a good investment?,cryptopolitan,2024-09-21 16:24:00,https://www.cryptopolitan.com/bittensor-price-prediction/,"Key takeaways Bittensor is a decentralized artificial intelligence-based network that integrates blockchain technology with AI. It uses Proof of Learning (PoL) to make sure nodes provide reliable AI models while protecting user privacy. Its cross-chain compatibility and native token expand the decentralized AI ecosystem’s use cases, TAO, which encourages cooperation. The PoL consensus method TAO"
XRP Price Prediction as Investors Await Ripple Swell & SEC Appeal,coingape,2024-09-21 16:21:15,https://coingape.com/markets/xrp-price-prediction-investors-ripple-swell-sec-appeal/,"XRP price prediction reported a 3.4% surge during the Saturday session, teasing a bullish breakout from the $0.6 resistance. The sudden inflow could be linked to Vice President Kamala Harris accepting the invitation from CNN for a second debate with President Donald Trump on October 23. A potential breakout ahead of the Ripple Swell could The post XRP Price Prediction as Investors Await Ripple Swell & SEC Appeal appeared first on CoinGape ."
"NEAR Protocol Price Eyes 120% Surge, Is it Poised for Massive Growth?",coingape,2024-09-21 16:20:46,https://coingape.com/markets/near-protocol-price-eyes-120-surge-is-it-poised-for-massive-growth/,"NEAR Protocol (NEAR), a layer-one blockchain, has experienced a significant uptick in its market value recently. This surge indicates potential for further increases as the asset continues to exhibit a bullish trend. Across the cryptocurrency sector, a general uptrend has bolstered bullish sentiments, suggesting a positive market outlook. NEAR Protocol Price Surges Amid Market Rally The post NEAR Protocol Price Eyes 120% Surge, Is it Poised for Massive Growth? appeared first on CoinGape ."
Germany Shuts Down 47 Crypto Exchanges Over Money Laundering Activities,cryptopotato,2024-09-21 16:16:43,https://cryptopotato.com/germany-shuts-down-47-crypto-exchanges-over-money-laundering-activities/,Authorities have obtained servers containing IP addresses of the criminals and are on the hunt for them.
"3 cryptocurrencies to turn $100 into $5,000: ‘Sell your watch’",finbold,2024-09-21 16:15:29,https://finbold.com/3-cryptocurrencies-to-turn-100-into-5000-sell-your-watch/,"A cryptocurrency influencer, venture capitalist, and angel investor recommended his followers to “sell your watch” and put in one of … Continue reading The post 3 cryptocurrencies to turn $100 into $5,000: ‘Sell your watch’ appeared first on Finbold ."
"Ethereum Dominates NFT Sales Amid Market Surge, Despite Weekly Dip",coinotag,2024-09-21 16:14:37,https://en.coinotag.com/ethereum-dominates-nft-sales-amid-market-surge-despite-weekly-dip/,"The NFT market experienced a resurgence between Sept. 14-21, 2024, following weeks of lackluster performance. Sales across 21 blockchains surged to $77.13 million, representing a 7.33% increase, according to cryptoslam.io"
BNY Mellon Exemption May Pave Way for U.S. Banks to Offer Bitcoin Custody,btcpulse,2024-09-21 16:12:42,https://btc-pulse.com/bny-mellon-exemption-may-pave-way-u-s-banks/,"BNY Mellon’s exemption from SEC SAB 121 may allow U.S. banks to custody Bitcoin, possibly signaling a shift in the federal stance on cryptocurrency."
PS5 pro backlash sparks a new PlayStation vs PC debate,cryptopolitan,2024-09-21 16:12:13,https://www.cryptopolitan.com/ps5-pro-backlash-sparks-a-new-playstation-vs-pc-debate/,"PS5 pro was recently announced with upgraded specifications, and a high price. This revived the decade long debate between PC and PlayStation fanbase. PS5 pro was announced at a starting price of $700, which angered many fans. Fans were furious that the console barely offers any new games or a disc drive for the high"
"Trump Bull Market Memecoin to Surge 19,000% Ahead of Exchange Listings, as Shiba Inu and DOGE Struggle",cryptointelligence,2024-09-21 16:05:00,https://www.cryptointelligence.co.uk/trump-bull-market-memecoin-to-surge-19000-ahead-of-exchange-listings-as-shiba-inu-and-doge-struggle/,"Trump Bull Market could turn early investors into multi-millionaires, like Shiba Inu (SHIB) and Dogecoin (DOGE) did. Trump Bull Market (TRUMBULL), a new Solana memecoin that was launched recently, is poised to explode over 19,000% in price in the coming days. This is because TRUMBULL is set to soon be listed on numerous crypto exchanges, according to reports. This will give the Solana memecoin exposure to millions of additional investors, who will pour funds into the coin and drive its price up. Currently, Trump Bull Market can only be purchased via Solana decentralized exchanges, like Jup.ag and Raydium.io, and early"
"Dogecoin Eyes 20% Rally, On-chain Data Flashes Bullish Signal",coinpedia,2024-09-21 16:04:42,https://coinpedia.org/news/dogecoin-eyes-20-rally-on-chain-data-flashes-bullish-signal/,"The post Dogecoin Eyes 20% Rally, On-chain Data Flashes Bullish Signal appeared first on Coinpedia Fintech News Dogecoin (DOGE) the world’s biggest meme coin by market cap is poised for a significant upside rally as its on-chain metrics flash a bullish signal. In the past few days, the overall sentiment across the cryptocurrency landscape has shifted and appears bullish. DOGE’s Bullish On-chain Metrics Amid this market reversal, DOGE’s on-chain metrics such as …"
"SUI Continues Bullish Run, Surges 45% In The Past Week — What Next?",newsbtc,2024-09-21 16:00:49,https://www.newsbtc.com/sui/sui-continues-bullish-run-surges-45-in-the-past-week-what-next/,"The interest rate cut by the US Federal Reserve has been one of the biggest stories in the crypto space this week, with most large-cap assets making something of a recovery in the past few days. As a result, Sui (SUI) is one asset whose price performance has largely gone under the radar in the last seven days. SUI Price Overview As of this writing, the price of SUI stands at $1.50, reflecting a more than 7.5% increase in the past 24 hours. This impressive single-day performance highlights the bullish momentum that the token has been enjoying over the past few weeks. The Sui token ranks amongst some of the best performers in the top 100 largest cryptocurrencies by market capitalization in the last seven-day period. According to data from CoinGecko, the altcoin is up by nearly 45% in the past week. Related Reading: Grayscale XRP Trust Surges 11.44% One Week After Launch, Here’s The Catalyst Interestingly, price action data shows that SUI’s hot streak is even more impressive on broader timeframes. Having started September consolidating around the $0.8 region, the token didn’t breach the $1 mark until about two weeks into the month. However, SUI didn’t take as much time to cross the $1.5 level, another major price landmark. Much of this positive performance can be attributed to the recent attention and adoption of the Sui blockchain in recent weeks. On September 17, Sui network revealed — in a post on the X platform — a notable partnership with Circle. The stablecoin providing is expanding USDC issuance to the layer 1 blockchain. This development is expected to boost liquidity and attract more users to the Sui network. Is $1.80 The Next Stop? As of now, the SUI token seems to be hovering around the psychological $1.5 region — which doubles as a major resistance zone. However, a convincing break above this level could mean a journey up to $1.80, where the next resistance level lies. In the case that the break above $1.5 is a fake out, the SUI token could fall to the next support level at $1.0125. It is worth noting that the relative strength index (RSI) indicator, which measures the momentum of a trend, is currently in the overbought region. Related Reading: Bullish Analyst Sees Cardano (ADA) Rising 13% As Key Indicator Signals Buy When the RSI value is above 70, it implies that the token’s price may be gearing for a correction or even a trend reversal. This observation suggests that investors might want to tread with caution, as the SUI token may just be overvalued at the moment. Nevertheless, the rising open interest has continued to fan the flames of bullish sentiment for SUI. According to data from Coinglass, the token’s open interest stands at around $383 million, reflecting an almost 9% increase in the past day. Featured image from Unsplash, chart from TradingView"
VanEck: Why a Kamala Harris presidency could be better for Bitcoin,ambcrypto,2024-09-21 16:00:14,https://ambcrypto.com/vaneck-why-a-kamala-harris-presidency-could-be-better-for-bitcoin/,VanEck has made a contrarian bet on BTC if Harris wins 2024 US elections
BlackRock CEO Larry Fink Makes Bullish Remarks on Bitcoin,bitcoinsistemi,2024-09-21 15:55:09,https://en.bitcoinsistemi.com/blackrock-ceo-larry-fink-makes-bullish-remarks-on-bitcoin/,"Larry Fink, CEO of BlackRock, the world's largest asset manager, spoke about Bitcoin in his statement. Continue Reading: BlackRock CEO Larry Fink Makes Bullish Remarks on Bitcoin"
Ethereum Name Service price prediction 2024-2030: Is ENS a good investment?,cryptopolitan,2024-09-21 15:38:54,https://www.cryptopolitan.com/ethereum-name-service-price-prediction/,"Key takeaways Ethereum Name Service is a network that allows crypto-enthusiasts to rename their crypto addresses into something more uncomplicated for them to remember easily. Renaming crypto addresses through ENS will enable users to recollect and write them quickly. Even though Ethereum Name Service is based on the Ethereum blockchain, it uses its cryptocurrency, ENS."
Kamala Harris Accepts Second Presidential Debate Challenge from Pro-Crypto Trump,coinotag,2024-09-21 15:37:35,https://en.coinotag.com/kamala-harris-accepts-second-presidential-debate-challenge-from-pro-crypto-trump/,The cryptocurrency market remains a vibrant topic with continuous developments and significant impacts on global finance. Recent movements in Bitcoin and Ethereum prices have caught the attention of investors and
"NFT Sales Climb 7.33%, Mythos, Blast, and Solana Lead the Charge",bitcoin.com,2024-09-21 15:34:55,https://news.bitcoin.com/nft-sales-climb-7-33-mythos-blast-and-solana-lead-the-charge/,"Non-fungible tokens (NFTs) had quite the boost this week, with sales climbing by 7.33% compared to the previous one, totaling $77.13 million. The number of NFT sellers skyrocketed by 95.68%, while buyers surged 137.48%, giving the market a noticeable lift. NFT Gains: Digital Collectible Buyers Increase by 137% as Sales Hit $77.13M After several weeks"
"US Paying $1,157,762,000,000 in Interest on National Debt in One Year, Says Treasury Department, As Elon Musk Warns Government ‘Whistling Past the Graveyard’",dailyhodl,2024-09-21 15:31:45,https://dailyhodl.com/2024/09/21/us-paying-1157762000000-in-interest-on-national-debt-in-one-year-says-treasury-department-as-elon-musk-warns-government-whistling-past-the-graveyard/,"The US Treasury Department says it expects to pay a whopping $1.157762 trillion in interest on the national debt for the fiscal year 2024. The interest represents the cost of borrowing money, which the government does by issuing Treasury bonds, bills and other securities. Interest payments have already totaled $1.05 trillion as of August, and The post US Paying $1,157,762,000,000 in Interest on National Debt in One Year, Says Treasury Department, As Elon Musk Warns Government ‘Whistling Past the Graveyard’ appeared first on The Daily Hodl ."
